platform_name,platform_ID,IND,home_country,developer_portal_url,num_host_countries
Saudi National Bank SNB,CC266,Credit Card Transactions,Saudi Arabia,,1
Sberbank PAO,CC267,Credit Card Transactions,Russia,,1
Security Bank Corp,CC270,Credit Card Transactions,Philippines,,1
Shanghai Pudong Development Bank Co Ltd,CC274,Credit Card Transactions,China,,1
Shell Plc,CC275,Credit Card Transactions,United Kingdom,,2
Shinhan Group,CC277,Credit Card Transactions,South Korea,,1
Shinhan Vietnam Bank Ltd,CC278,Credit Card Transactions,Vietnam,,1
"Siam Commercial Bank PCL, The",CC279,Credit Card Transactions,Thailand,,1
Skandinaviska Enskilda Banken AB,CC281,Credit Card Transactions,Sweden,,3
Société Générale SA,CC282,Credit Card Transactions,France,,4
Standard Bank of South Africa,CC285,Credit Card Transactions,South Africa,,1
Standard Chartered Bank Plc,CC286,Credit Card Transactions,United Kingdom,,5
Sumitomo Mitsui Financial Group Inc,CC288,Credit Card Transactions,Japan,,1
Svenska Handelsbanken AB,CC290,Credit Card Transactions,Sweden,,2
Swedbank AB,CC291,Credit Card Transactions,Sweden,,1
Sydbank A/S,CC292,Credit Card Transactions,Denmark,,1
TD Bank Financial Group,CC299,Credit Card Transactions,Canada,,1
TKS Bank AO,CC303,Credit Card Transactions,Russia,,1
Taishin Financial Holding Co Ltd,CC294,Credit Card Transactions,Taiwan,,1
Tarjeta Naranja SA,CC298,Credit Card Transactions,Argentina,,1
Tien Phong Commercial JSB,CC302,Credit Card Transactions,Vietnam,,1
Turkiye Cumhuriyeti Ziraat Bankasi AS,CC308,Credit Card Transactions,Turkey,,1
Turkiye Halk Bankasi AS,CC309,Credit Card Transactions,Turkey,,1
Turkiye Is Bankasi AS (Isbank),CC310,Credit Card Transactions,Turkey,,1
Turkiye Vakiflar Bankasi TAO,CC311,Credit Card Transactions,Turkey,,1
Tuya SA,CC312,Credit Card Transactions,Colombia,,1
UniCredit Group,CC314,Credit Card Transactions,Italy,,5
Union Bank of the Philippines Inc,CC316,Credit Card Transactions,Philippines,,1
United Overseas Bank Ltd,CC319,Credit Card Transactions,Singapore,,3
Universo IME SA,CC320,Credit Card Transactions,Spain,,1
VTB Bank PAO,CC335,Credit Card Transactions,Russia,,1
Vietnam International Commercial JSB,CC328,Credit Card Transactions,Vietnam,,1
Vietnam JSC Bank for Industry & Trade (Vietinbank),CC329,Credit Card Transactions,Vietnam,,1
Vietnam Prosperity Commercial JCB,CC331,Credit Card Transactions,Vietnam,,1
Vietnam Technological & Commercial Bank,CC332,Credit Card Transactions,Vietnam,,1
Virgin Group Ltd,CC333,Credit Card Transactions,United Kingdom,,3
Värde Partners Inc,CC325,Credit Card Transactions,United States,,2
Warburg Pincus Financial Holdings (Israel) Ltd,CC337,Credit Card Transactions,Israel,,1
Westpac Banking Corp,CC339,Credit Card Transactions,Australia,,1
Woori Finance Holdings Co Ltd,CC341,Credit Card Transactions,South Korea,,1
Yapi ve Kredi Bankasi AS,CC342,Credit Card Transactions,Turkey,,1
Zenith Bank UK Ltd,CC344,Credit Card Transactions,Nigeria,,1
AROBS Transilvania Software SRL,CA6,In-Car Entertainment,Romania,,1
Akai Electric Co Ltd,CA1,In-Car Entertainment,Japan,,3
